date, day, choice, RT, frac_chosen_nr, frac_chosen_rew, frac_chosen_prob, frach_other_nr, frac_other_rew, frac_other_prob 
2017-06-29T13:23:23.524Z,0,L,1231,5,15,0.7,6,20,0.5 
2017-06-29T13:23:23.524Z,0,L,4220,9,35,0.3,6,0,0.5 
2017-06-29T13:23:23.524Z,0,R,3222,5,15,0.7,8,25,0.4 
2017-06-29T13:23:23.524Z,0,L,1957,8,0,0.4,6,0,0.5 
2017-06-29T13:23:23.524Z,0,L,2120,5,15,0.7,7,0,0.5 
2017-06-29T13:23:23.524Z,0,R,1675,9,0,0.3,8,0,0.4 
2017-06-29T13:23:23.524Z,0,L,1416,6,20,0.5,7,25,0.5 
2017-06-29T13:23:23.524Z,0,R,977,7,0,0.5,8,0,0.4 
2017-06-29T13:23:23.524Z,0,R,1032,9,0,0.3,5,0,0.7 
2017-06-29T13:23:23.524Z,0,L,935,7,0,0.5,9,0,0.3 
2017-07-04T14:10:53.596Z,1,R,800,6,20,0.5,9,25,0.5 
2017-07-04T14:10:53.596Z,1,R,831,8,0,0.3,7,15,0.7 
2017-07-04T14:10:53.596Z,1,L,932,8,35,0.3,6,20,0.5 
2017-07-04T14:10:53.596Z,1,L,944,9,0,0.5,8,0,0.3 
2017-07-04T14:10:53.596Z,1,R,882,6,20,0.5,5,0,0.4 
2017-07-04T14:10:53.596Z,1,L,691,7,0,0.7,5,25,0.4 
2017-07-04T14:10:53.596Z,1,L,814,7,15,0.7,6,0,0.5 
2017-07-04T14:10:53.596Z,1,R,1876,9,25,0.5,5,25,0.4 
2017-07-04T14:10:53.596Z,1,L,782,9,0,0.5,7,15,0.7 
2017-07-04T14:10:53.596Z,1,R,1186,5,0,0.4,8,0,0.3 
2017-07-04T14:13:52.587Z,2,R,766,3,0,0.5,1,25,0.5 
2017-07-04T14:13:52.587Z,2,R,619,4,0,0.4,3,20,0.5 
2017-07-04T14:13:52.587Z,2,L,740,1,25,0.5,0,15,0.7 
2017-07-04T14:13:52.587Z,2,R,649,1,25,0.5,2,0,0.3 
2017-07-04T14:13:52.587Z,2,R,476,0,0,0.7,4,25,0.4 
2017-07-04T14:13:52.587Z,2,R,646,1,0,0.5,4,0,0.4 
2017-07-04T14:13:52.587Z,2,L,639,0,15,0.7,2,35,0.3 
2017-07-04T14:13:52.587Z,2,R,583,2,0,0.3,4,0,0.4 
2017-07-04T14:13:52.587Z,2,R,737,0,0,0.7,3,0,0.5 
2017-07-04T14:13:52.587Z,2,R,594,2,0,0.3,3,20,0.5 
2017-07-10T12:58:52.355Z,3,L,948,4,25,0.4,0,0,0.5 
2017-07-10T12:58:52.355Z,3,L,1605,1,0,0.7,3,0,0.3 
2017-07-10T12:58:52.355Z,3,R,922,0,20,0.5,1,15,0.7 
2017-07-10T12:58:52.355Z,3,L,1080,1,15,0.7,4,25,0.4 
2017-07-10T12:58:52.355Z,3,R,1235,0,0,0.5,3,0,0.3 
2017-07-10T12:58:52.355Z,3,L,757,0,0,0.5,2,0,0.5 
2017-07-10T12:58:52.355Z,3,R,779,4,0,0.4,2,25,0.5 
2017-07-10T12:58:52.355Z,3,R,837,3,0,0.3,4,25,0.4 
2017-07-10T12:58:52.355Z,3,R,1221,2,0,0.5,3,35,0.3 
2017-07-10T12:58:52.355Z,3,R,3695,2,25,0.5,1,15,0.7 
2017-07-10T13:09:02.956Z,4,R,1406,2,20,0.5,3,15,0.7 
2017-07-10T13:09:02.956Z,4,R,7980,4,0,0.5,2,0,0.5 
2017-07-10T13:09:02.956Z,4,R,1018,1,0,0.4,2,20,0.5 
2017-07-10T13:09:02.956Z,4,L,1077,0,0,0.3,1,25,0.4 
2017-07-10T13:09:02.956Z,4,L,2609,4,25,0.5,1,0,0.4 
2017-07-10T13:09:02.956Z,4,R,1363,0,35,0.3,4,25,0.5 
2017-07-10T13:09:02.956Z,4,L,1220,3,15,0.7,4,0,0.5 
2017-07-10T13:09:02.956Z,4,R,5429,0,35,0.3,2,0,0.5 
2017-07-10T13:09:02.956Z,4,L,1476,1,0,0.4,3,0,0.7 
2017-07-10T13:09:02.956Z,4,L,805,0,0,0.3,3,15,0.7 
