L circle prob win, L circle gain, L circle loss, R circle prob win, R circle gain, R cicle loss, choice, gain/loss, near/clear_1, near/clear_2,total score, RT, test day, actual day in study, mood pre GAMB, mood post GAMB 
0.25,110,75,0.6,20,125,0,-75,138.361328045,131.638671955,-75,2517,1,2017-06-29T13:21:17.218Z, +0, +0 
0.75,50,150,0.3,70,30,0,50,265.839802063,4.16019793745,-25,1350,1,2017-06-29T13:21:17.218Z, +0, +0 
0.4,120,90,0.6,70,165,0,120,78.8427543841,65.1572456159,95,1394,1,2017-06-29T13:21:17.218Z, +0, +0 
0.65,115,125,0.7,130,175,0,115,101.642131797,132.357868203,210,2643,1,2017-06-29T13:21:17.218Z, +0, +0 
0.3,195,15,0.6,155,160,1,155,28.3642580838,187.635741916,365,878,1,2017-06-29T13:21:17.218Z, +0, +0 
0.4,145,140,0.6,20,120,0,-140,-26.2573624572,189.742637543,225,1574,1,2017-06-29T13:21:17.218Z, +0, +0 
0.25,80,10,0.5,55,30,1,55,62.6747216793,117.325278321,280,1796,1,2017-06-29T13:21:17.218Z, +0, +0 
0.6,90,20,0.35,150,180,0,90,170.991654401,45.0083455988,370,1735,1,2017-06-29T13:21:17.218Z, +0, +0 
0.55,155,180,0.5,195,60,1,-60,111.810883668,68.1891163322,310,2025,1,2017-06-29T13:21:17.218Z, +0, +0 
0.45,95,35,0.5,165,140,1,-140,-39.5973471356,140.402652864,170,1510,1,2017-06-29T13:21:17.218Z, +0, +0 
0.45,55,45,0.7,25,30,0,55,160.538880102,1.46111989794,225,2082,1,2017-06-29T13:21:17.218Z, +0, +0 
0.4,125,105,0.7,35,115,0,125,105.763377589,38.2366224108,350,1800,1,2017-06-29T13:21:17.218Z, +0, +0 
0.75,65,195,0.6,80,120,1,80,150.769675309,65.2303246914,430,2565,1,2017-06-29T13:21:17.218Z, +0, +0 
0.75,65,140,0.25,100,15,0,65,209.342201412,60.657798588,495,1777,1,2017-06-29T13:21:17.218Z, +0, +0 
0.3,155,55,0.5,90,95,1,90,41.8403247224,138.159675278,585,1603,1,2017-06-29T13:21:17.218Z, +0, +0 
0.5,50,175,0.65,175,170,1,175,56.7717137273,177.228286273,760,1156,1,2017-06-29T13:21:17.218Z, +0, +0 
0.65,100,135,0.25,110,150,0,100,77.6700544251,156.329945575,860,1183,1,2017-06-29T13:21:17.218Z, +0, +0 
