L circle prob win, L circle gain, L circle loss, R circle prob win, R circle gain, R cicle loss, choice, gain/loss, near/clear_1, near/clear_2,total score, RT, test day, actual day in study, mood pre GAMB, mood post GAMB 
0.45,100,70,0.5,65,25,0,-70,124.103835429,73.8961645705,790,1517,1,2017-06-29T13:21:17.218Z, +0, +0 
0.65,55,100,0.25,65,30,0,-100,-48.9261678983,77.0738321017,690,1260,1,2017-06-29T13:21:17.218Z, +0, +0 
0.45,125,85,0.6,80,135,0,-85,-56.1671670521,141.832832948,605,2063,1,2017-06-29T13:21:17.218Z, +0, +0 
0.55,195,130,0.7,95,10,0,-130,-59.0930002575,102.906999743,-130,1284,2,2017-07-04T14:24:57.960Z, +3, +0 
0.75,80,150,0.4,30,15,0,80,204.489119417,65.5108805827,-50,1166,2,2017-07-04T14:24:57.960Z, +3, +0 
0.65,60,40,0.35,35,60,0,60,20.4311345991,213.568865401,10,1006,2,2017-07-04T14:24:57.960Z, +3, +0 
0.45,45,95,0.55,30,65,1,-65,-63.207083533,98.792916467,-55,2483,2,2017-07-04T14:24:57.960Z, +3, +0 
0.75,25,120,0.35,135,90,1,-90,123.102456097,110.897543903,-145,1336,2,2017-07-04T14:24:57.960Z, +3, +0 
0.75,120,175,0.7,130,170,1,130,203.502281465,48.4977185351,-15,2002,2,2017-07-04T14:24:57.960Z, +3, +0 
0.6,70,95,0.75,30,20,0,70,132.162568709,83.8374312912,55,1461,2,2017-07-04T14:24:57.960Z, +3, +0 
0.7,150,185,0.5,30,180,0,150,1.06595741153,250.934042588,205,1336,2,2017-07-04T14:24:57.960Z, +3, +0 
0.7,130,20,0.55,85,50,0,130,235.854906408,16.1450935924,335,1368,2,2017-07-04T14:24:57.960Z, +3, +0 
0.75,55,190,0.65,30,55,1,30,228.816645428,5.18335457158,365,2039,2,2017-07-04T14:24:57.960Z, +3, +0 
0.6,90,135,0.75,35,105,0,-135,-30.4689049089,113.531095091,230,1439,2,2017-07-04T14:24:57.960Z, +3, +0 
0.35,60,105,0.4,25,80,0,60,25.0485920572,100.951407943,290,2666,2,2017-07-04T14:24:57.960Z, +3, +0 
0.25,105,35,0.75,45,135,0,-35,126.079709694,143.920290306,255,2619,2,2017-07-04T14:24:57.960Z, +3, +0 
0.45,185,130,0.55,35,60,0,-130,112.127696458,85.8723035421,125,2133,2,2017-07-04T14:24:57.960Z, +3, +0 
0.7,85,145,0.65,80,115,0,-145,-9.30960708524,98.6903929148,-20,2027,2,2017-07-04T14:24:57.960Z, +3, +0 
0.7,75,140,0.5,85,25,1,85,20.8838413285,159.116158672,65,1705,2,2017-07-04T14:24:57.960Z, +3, +0 
0.45,140,110,0.7,60,135,0,-110,162.028448881,35.9715511193,-45,3145,2,2017-07-04T14:24:57.960Z, +3, +0 
0.4,40,195,0.7,175,50,1,-50,-12.3257687975,95.6742312025,-95,840,2,2017-07-04T14:24:57.960Z, +3, +0 
0.75,60,200,0.3,35,10,0,-200,-67.7667629085,22.2332370915,-295,1358,2,2017-07-04T14:24:57.960Z, +3, +0 
0.5,70,110,0.35,45,55,0,70,84.0223825042,95.9776174958,-225,1136,2,2017-07-04T14:24:57.960Z, +3, +0 
0.3,120,15,0.5,55,115,0,-15,-84.6026328888,167.397367111,-15,1686,3,2017-07-10T13:02:48.566Z, +4, +3 
0.25,75,35,0.45,85,55,1,85,106.667861174,55.3321388257,70,1491,3,2017-07-10T13:02:48.566Z, +4, +3 
0.7,70,120,0.45,120,50,1,-50,164.645719555,33.3542804449,20,1355,3,2017-07-10T13:02:48.566Z, +4, +3 
0.5,150,110,0.4,185,90,0,-110,-89.1701079353,90.8298920647,-90,1501,3,2017-07-10T13:02:48.566Z, +4, +3 
0.3,80,30,0.45,15,20,1,-20,174.947357104,23.0526428957,-110,2552,3,2017-07-10T13:02:48.566Z, +4, +3 
0.7,170,55,0.35,125,200,0,170,94.1598435326,157.840156467,60,1239,3,2017-07-10T13:02:48.566Z, +4, +3 
0.6,140,200,0.75,55,80,1,55,217.30300164,52.6969983603,115,4378,3,2017-07-10T13:02:48.566Z, +4, +3 
0.55,115,90,0.3,70,165,0,-90,-28.3485832045,133.651416796,25,1386,3,2017-07-10T13:02:48.566Z, +4, +3 
0.35,60,65,0.65,100,195,1,100,161.558177738,72.4418222615,125,1259,3,2017-07-10T13:02:48.566Z, +4, +3 
0.5,170,65,0.7,120,125,0,-65,106.311636999,73.6883630005,60,3292,3,2017-07-10T13:02:48.566Z, +4, +3 
0.6,40,60,0.5,45,65,1,45,74.8088336445,105.191166355,105,2448,3,2017-07-10T13:02:48.566Z, +4, +3 
0.4,165,110,0.6,120,180,0,-110,113.604998522,102.395001478,-5,2494,3,2017-07-10T13:02:48.566Z, +4, +3 
0.7,150,35,0.75,160,95,0,150,57.4710252248,194.528974775,145,2212,3,2017-07-10T13:02:48.566Z, +4, +3 
0.65,10,190,0.35,35,95,1,-95,-89.4061971099,144.59380289,50,2344,3,2017-07-10T13:02:48.566Z, +4, +3 
0.6,85,55,0.65,40,150,0,85,182.068347835,33.9316521654,135,1913,3,2017-07-10T13:02:48.566Z, +4, +3 
0.65,75,125,0.35,190,65,1,-65,159.21231831,74.78768169,70,2569,3,2017-07-10T13:02:48.566Z, +4, +3 
0.75,65,195,0.6,80,120,1,80,132.183379791,83.8166202088,150,2123,3,2017-07-10T13:02:48.566Z, +4, +3 
0.65,60,65,0.45,85,40,1,85,153.303950044,8.69604995579,235,1740,3,2017-07-10T13:02:48.566Z, +4, +3 
0.3,65,145,0.25,170,140,1,-140,133.246420221,136.753579779,95,3111,3,2017-07-10T13:02:48.566Z, +4, +3 
0.4,30,110,0.65,25,180,0,30,44.620144333,99.379855667,125,3564,3,2017-07-10T13:02:48.566Z, +4, +3 
