RT, correct, trial_type, session, date, days, nr_trials, moodpre, moodpost 
1203,1,E_0,1,2017-07-04T14:22:12.764Z,0,60, +4, +10 
1210,1,C_15,1,2017-07-04T14:22:12.764Z,0,60, +4, +10 
1202,1,E_0,1,2017-07-04T14:22:12.764Z,0,60, +4, +10 
949,1,C_16,1,2017-07-04T14:22:12.764Z,0,60, +4, +10 
1089,1,E_0,1,2017-07-04T14:22:12.764Z,0,60, +4, +10 
1075,1,A_17,1,2017-07-04T14:22:12.764Z,0,60, +4, +10 
1073,1,E_0,1,2017-07-04T14:22:12.764Z,0,60, +4, +10 
1328,1,C_17,1,2017-07-04T14:22:12.764Z,0,60, +4, +10 
1260,1,E_0,1,2017-07-04T14:22:12.764Z,0,60, +4, +10 
1899,1,C_18,1,2017-07-04T14:22:12.764Z,0,60, +4, +10 
1882,1,A_18,1,2017-07-04T14:22:12.764Z,0,60, +4, +10 
1416,1,A_19,1,2017-07-04T14:22:12.764Z,0,60, +4, +10 
1374,1,E_0,1,2017-07-04T14:22:12.764Z,0,60, +4, +10 
1220,1,C_19,1,2017-07-04T14:22:12.764Z,0,60, +4, +10 
1775,1,A_0,2,2017-07-10T13:05:34.731Z,1,60, +2, +0 
1254,1,E_1,2,2017-07-10T13:05:34.731Z,1,60, +2, +0 
722,1,C_0,2,2017-07-10T13:05:34.731Z,1,60, +2, +0 
604,1,E_1,2,2017-07-10T13:05:34.731Z,1,60, +2, +0 
1115,1,A_1,2,2017-07-10T13:05:34.731Z,1,60, +2, +0 
1284,1,E_1,2,2017-07-10T13:05:34.731Z,1,60, +2, +0 
1079,1,A_2,2,2017-07-10T13:05:34.731Z,1,60, +2, +0 
1164,1,C_1,2,2017-07-10T13:05:34.731Z,1,60, +2, +0 
1224,1,A_3,2,2017-07-10T13:05:34.731Z,1,60, +2, +0 
1226,1,E_1,2,2017-07-10T13:05:34.731Z,1,60, +2, +0 
955,1,A_4,2,2017-07-10T13:05:34.731Z,1,60, +2, +0 
803,1,E_1,2,2017-07-10T13:05:34.731Z,1,60, +2, +0 
917,1,A_5,2,2017-07-10T13:05:34.731Z,1,60, +2, +0 
495,1,E_1,2,2017-07-10T13:05:34.731Z,1,60, +2, +0 
1078,1,C_2,2,2017-07-10T13:05:34.731Z,1,60, +2, +0 
995,1,E_1,2,2017-07-10T13:05:34.731Z,1,60, +2, +0 
1007,1,C_3,2,2017-07-10T13:05:34.731Z,1,60, +2, +0 
924,1,A_6,2,2017-07-10T13:05:34.731Z,1,60, +2, +0 
1732,1,C_4,2,2017-07-10T13:05:34.731Z,1,60, +2, +0 
835,1,C_5,2,2017-07-10T13:05:34.731Z,1,60, +2, +0 
1415,1,C_6,2,2017-07-10T13:05:34.731Z,1,60, +2, +0 
915,1,C_7,2,2017-07-10T13:05:34.731Z,1,60, +2, +0 
530,1,A_7,2,2017-07-10T13:05:34.731Z,1,60, +2, +0 
914,1,A_8,2,2017-07-10T13:05:34.731Z,1,60, +2, +0 
901,1,A_9,2,2017-07-10T13:05:34.731Z,1,60, +2, +0 
1612,1,A_10,2,2017-07-10T13:05:34.731Z,1,60, +2, +0 
537,1,C_8,2,2017-07-10T13:05:34.731Z,1,60, +2, +0 
1193,1,C_9,2,2017-07-10T13:05:34.731Z,1,60, +2, +0 
1333,1,A_11,2,2017-07-10T13:05:34.731Z,1,60, +2, +0 
2223,1,C_10,2,2017-07-10T13:05:34.731Z,1,60, +2, +0 
916,1,E_1,2,2017-07-10T13:05:34.731Z,1,60, +2, +0 
529,1,A_12,2,2017-07-10T13:05:34.731Z,1,60, +2, +0 
1512,1,E_1,2,2017-07-10T13:05:34.731Z,1,60, +2, +0 
966,1,C_11,2,2017-07-10T13:05:34.731Z,1,60, +2, +0 
813,1,E_1,2,2017-07-10T13:05:34.731Z,1,60, +2, +0 
1553,1,C_12,2,2017-07-10T13:05:34.731Z,1,60, +2, +0 
2075,1,E_1,2,2017-07-10T13:05:34.731Z,1,60, +2, +0 
1314,1,A_13,2,2017-07-10T13:05:34.731Z,1,60, +2, +0 
1004,1,A_14,2,2017-07-10T13:05:34.731Z,1,60, +2, +0 
1065,1,C_13,2,2017-07-10T13:05:34.731Z,1,60, +2, +0 
512,1,A_15,2,2017-07-10T13:05:34.731Z,1,60, +2, +0 
662,1,E_1,2,2017-07-10T13:05:34.731Z,1,60, +2, +0 
1392,1,C_14,2,2017-07-10T13:05:34.731Z,1,60, +2, +0 
1227,1,E_1,2,2017-07-10T13:05:34.731Z,1,60, +2, +0 
1193,1,C_15,2,2017-07-10T13:05:34.731Z,1,60, +2, +0 
973,1,A_16,2,2017-07-10T13:05:34.731Z,1,60, +2, +0 
877,1,E_1,2,2017-07-10T13:05:34.731Z,1,60, +2, +0 
2221,1,A_17,2,2017-07-10T13:05:34.731Z,1,60, +2, +0 
972,1,A_18,2,2017-07-10T13:05:34.731Z,1,60, +2, +0 
1125,1,E_1,2,2017-07-10T13:05:34.731Z,1,60, +2, +0 
1488,1,C_16,2,2017-07-10T13:05:34.731Z,1,60, +2, +0 
915,1,E_1,2,2017-07-10T13:05:34.731Z,1,60, +2, +0 
1147,1,C_17,2,2017-07-10T13:05:34.731Z,1,60, +2, +0 
1176,1,E_1,2,2017-07-10T13:05:34.731Z,1,60, +2, +0 
1772,1,A_19,2,2017-07-10T13:05:34.731Z,1,60, +2, +0 
1072,1,E_1,2,2017-07-10T13:05:34.731Z,1,60, +2, +0 
1617,1,C_18,2,2017-07-10T13:05:34.731Z,1,60, +2, +0 
1609,1,E_1,2,2017-07-10T13:05:34.731Z,1,60, +2, +0 
867,1,C_19,2,2017-07-10T13:05:34.731Z,1,60, +2, +0 
662,1,E_1,2,2017-07-10T13:05:34.731Z,1,60, +2, +0 
