RT, correct, trial_type, session, date, days, nr_trials, moodpre, moodpost 
1365,1,E_0,1,2017-07-04T14:22:12.764Z,0,60, +4, +10 
1201,1,A_0,1,2017-07-04T14:22:12.764Z,0,60, +4, +10 
1286,1,E_0,1,2017-07-04T14:22:12.764Z,0,60, +4, +10 
415,1,A_1,1,2017-07-04T14:22:12.764Z,0,60, +4, +10 
1337,1,E_0,1,2017-07-04T14:22:12.764Z,0,60, +4, +10 
1954,1,C_0,1,2017-07-04T14:22:12.764Z,0,60, +4, +10 
1247,1,E_0,1,2017-07-04T14:22:12.764Z,0,60, +4, +10 
1274,1,C_1,1,2017-07-04T14:22:12.764Z,0,60, +4, +10 
1239,1,E_0,1,2017-07-04T14:22:12.764Z,0,60, +4, +10 
1742,1,C_2,1,2017-07-04T14:22:12.764Z,0,60, +4, +10 
1013,1,E_0,1,2017-07-04T14:22:12.764Z,0,60, +4, +10 
1589,1,A_2,1,2017-07-04T14:22:12.764Z,0,60, +4, +10 
1113,1,E_0,1,2017-07-04T14:22:12.764Z,0,60, +4, +10 
1115,1,C_3,1,2017-07-04T14:22:12.764Z,0,60, +4, +10 
976,1,E_0,1,2017-07-04T14:22:12.764Z,0,60, +4, +10 
439,1,A_3,1,2017-07-04T14:22:12.764Z,0,60, +4, +10 
1468,1,A_4,1,2017-07-04T14:22:12.764Z,0,60, +4, +10 
811,1,A_5,1,2017-07-04T14:22:12.764Z,0,60, +4, +10 
1384,1,A_6,1,2017-07-04T14:22:12.764Z,0,60, +4, +10 
1245,1,E_0,1,2017-07-04T14:22:12.764Z,0,60, +4, +10 
1137,1,A_7,1,2017-07-04T14:22:12.764Z,0,60, +4, +10 
1522,1,C_4,1,2017-07-04T14:22:12.764Z,0,60, +4, +10 
1241,1,A_8,1,2017-07-04T14:22:12.764Z,0,60, +4, +10 
1016,1,C_5,1,2017-07-04T14:22:12.764Z,0,60, +4, +10 
1058,1,E_0,1,2017-07-04T14:22:12.764Z,0,60, +4, +10 
920,1,C_6,1,2017-07-04T14:22:12.764Z,0,60, +4, +10 
1188,1,E_0,1,2017-07-04T14:22:12.764Z,0,60, +4, +10 
1295,1,C_7,1,2017-07-04T14:22:12.764Z,0,60, +4, +10 
1736,1,A_9,1,2017-07-04T14:22:12.764Z,0,60, +4, +10 
1106,1,C_8,1,2017-07-04T14:22:12.764Z,0,60, +4, +10 
1082,1,A_10,1,2017-07-04T14:22:12.764Z,0,60, +4, +10 
1228,1,E_0,1,2017-07-04T14:22:12.764Z,0,60, +4, +10 
1096,1,C_9,1,2017-07-04T14:22:12.764Z,0,60, +4, +10 
2511,1,C_10,1,2017-07-04T14:22:12.764Z,0,60, +4, +10 
982,1,C_11,1,2017-07-04T14:22:12.764Z,0,60, +4, +10 
1056,1,A_11,1,2017-07-04T14:22:12.764Z,0,60, +4, +10 
2021,1,E_0,1,2017-07-04T14:22:12.764Z,0,60, +4, +10 
1523,1,A_12,1,2017-07-04T14:22:12.764Z,0,60, +4, +10 
390,1,A_13,1,2017-07-04T14:22:12.764Z,0,60, +4, +10 
1050,1,C_12,1,2017-07-04T14:22:12.764Z,0,60, +4, +10 
1084,1,A_14,1,2017-07-04T14:22:12.764Z,0,60, +4, +10 
513,1,C_13,1,2017-07-04T14:22:12.764Z,0,60, +4, +10 
1164,1,A_15,1,2017-07-04T14:22:12.764Z,0,60, +4, +10 
721,1,A_16,1,2017-07-04T14:22:12.764Z,0,60, +4, +10 
1016,1,E_0,1,2017-07-04T14:22:12.764Z,0,60, +4, +10 
1186,1,C_14,1,2017-07-04T14:22:12.764Z,0,60, +4, +10 
